"","word","JE.freq","JE.prop","WH.freq","WH.prop","dProp","dAbs"
"1297","road",49,0.0201314708299096,37,0.0207282913165266,-0.000596820486616995,0.000596820486616995
"1298","resolv",30,0.0123253903040263,21,0.0117647058823529,0.000560684421673353,0.000560684421673353
"1299","associ",15,0.00616269515201315,10,0.00560224089635854,0.000560454255654604,0.000560454255654604
"1300","conscienc",15,0.00616269515201315,10,0.00560224089635854,0.000560454255654604,0.000560454255654604
"1301","crush",15,0.00616269515201315,10,0.00560224089635854,0.000560454255654604,0.000560454255654604
"1302","divin",15,0.00616269515201315,10,0.00560224089635854,0.000560454255654604,0.000560454255654604
"1303","invit",15,0.00616269515201315,10,0.00560224089635854,0.000560454255654604,0.000560454255654604
"1304","nose",15,0.00616269515201315,10,0.00560224089635854,0.000560454255654604,0.000560454255654604
"1305","reviv",15,0.00616269515201315,10,0.00560224089635854,0.000560454255654604,0.000560454255654604
"1306","burst",15,0.00616269515201315,12,0.00672268907563025,-0.000559993923617105,0.000559993923617105
"1307","command",15,0.00616269515201315,12,0.00672268907563025,-0.000559993923617105,0.000559993923617105
"1308","faint",15,0.00616269515201315,12,0.00672268907563025,-0.000559993923617105,0.000559993923617105
"1309","wash",15,0.00616269515201315,12,0.00672268907563025,-0.000559993923617105,0.000559993923617105
"1310","fix",34,0.0139687756778965,24,0.0134453781512605,0.000523397526635962,0.000523397526635962
"1311","gate",34,0.0139687756778965,24,0.0134453781512605,0.000523397526635962,0.000523397526635962
"1312","fact",19,0.00780608052588332,13,0.00728291316526611,0.000523167360617213,0.000523167360617213
"1313","thorough",11,0.00451930977814297,9,0.00504201680672269,-0.000522707028579715,0.000522707028579715
"1314","comfort",41,0.0168447000821693,31,0.0173669467787115,-0.000522246696542217,0.000522246696542217
"1315","stand",56,0.0230073952341824,42,0.0235294117647059,-0.000522016530523466,0.000522016530523466
"1316","cross",38,0.0156121610517666,27,0.0151260504201681,0.000486110631598572,0.000486110631598572
"1317","abl",23,0.00944946589975349,16,0.00896358543417367,0.000485880465579824,0.000485880465579824
"1318","appeal",7,0.0028759244042728,6,0.00336134453781513,-0.000485420133542324,0.000485420133542324
"1319","bench",7,0.0028759244042728,6,0.00336134453781513,-0.000485420133542324,0.000485420133542324
"1320","bewild",7,0.0028759244042728,6,0.00336134453781513,-0.000485420133542324,0.000485420133542324
"1321","declin",7,0.0028759244042728,6,0.00336134453781513,-0.000485420133542324,0.000485420133542324
"1322","errand",7,0.0028759244042728,6,0.00336134453781513,-0.000485420133542324,0.000485420133542324
"1323","innoc",7,0.0028759244042728,6,0.00336134453781513,-0.000485420133542324,0.000485420133542324
"1324","midnight",7,0.0028759244042728,6,0.00336134453781513,-0.000485420133542324,0.000485420133542324
"1325","rave",7,0.0028759244042728,6,0.00336134453781513,-0.000485420133542324,0.000485420133542324
"1326","reckless",7,0.0028759244042728,6,0.00336134453781513,-0.000485420133542324,0.000485420133542324
"1327","repuls",7,0.0028759244042728,6,0.00336134453781513,-0.000485420133542324,0.000485420133542324
"1328","readi",37,0.0152013147082991,28,0.0156862745098039,-0.000484959801504824,0.000484959801504824
"1329","struck",42,0.0172555464256368,30,0.0168067226890756,0.000448823736561181,0.000448823736561181
"1330","duti",27,0.0110928512736237,19,0.0106442577030812,0.000448593570542432,0.000448593570542432
"1331","secret",27,0.0110928512736237,19,0.0106442577030812,0.000448593570542432,0.000448593570542432
"1332","basin",12,0.00493015612161052,8,0.00448179271708683,0.000448363404523683,0.000448363404523683
"1333","hastili",12,0.00493015612161052,8,0.00448179271708683,0.000448363404523683,0.000448363404523683
"1334","shun",12,0.00493015612161052,8,0.00448179271708683,0.000448363404523683,0.000448363404523683
"1335","station",12,0.00493015612161052,8,0.00448179271708683,0.000448363404523683,0.000448363404523683
"1336","success",12,0.00493015612161052,8,0.00448179271708683,0.000448363404523683,0.000448363404523683
"1337","wipe",12,0.00493015612161052,8,0.00448179271708683,0.000448363404523683,0.000448363404523683
"1338","oblig",33,0.0135579293344289,25,0.0140056022408964,-0.000447672906467435,0.000447672906467435
"1339","chair",63,0.0258833196384552,47,0.0263305322128852,-0.000447212574429937,0.000447212574429937
"1340","ran",46,0.018898931799507,33,0.0184873949579832,0.000411536841523792,0.000411536841523792
"1341","harsh",16,0.00657354149548069,11,0.0061624649859944,0.000411076509486292,0.000411076509486292
"1342","honour",16,0.00657354149548069,11,0.0061624649859944,0.000411076509486292,0.000411076509486292
"1343","distinguish",14,0.0057518488085456,11,0.0061624649859944,-0.000410616177448793,0.000410616177448793
"1344","ghost",14,0.0057518488085456,11,0.0061624649859944,-0.000410616177448793,0.000410616177448793
"1345","nearer",14,0.0057518488085456,11,0.0061624649859944,-0.000410616177448793,0.000410616177448793
"1346","particular",14,0.0057518488085456,11,0.0061624649859944,-0.000410616177448793,0.000410616177448793
"1347","held",44,0.0180772391125719,33,0.0184873949579832,-0.000410155845411295,0.000410155845411295
"1348","sleep",44,0.0180772391125719,33,0.0184873949579832,-0.000410155845411295,0.000410155845411295
"1349","whether",74,0.0304026294165982,55,0.030812324929972,-0.000409695513373796,0.000409695513373796
"1350","nois",20,0.00821692686935086,14,0.00784313725490196,0.000373789614448903,0.000373789614448903
"1351","request",20,0.00821692686935086,14,0.00784313725490196,0.000373789614448903,0.000373789614448903
"1352","dust",10,0.00410846343467543,8,0.00448179271708683,-0.000373329282411403,0.000373329282411403
"1353","issu",10,0.00410846343467543,8,0.00448179271708683,-0.000373329282411403,0.000373329282411403
"1354","shoe",10,0.00410846343467543,8,0.00448179271708683,-0.000373329282411403,0.000373329282411403
"1355","stroke",10,0.00410846343467543,8,0.00448179271708683,-0.000373329282411403,0.000373329282411403
"1356","interv",25,0.0102711585866886,19,0.0106442577030812,-0.000373099116392654,0.000373099116392654
"1357","famili",40,0.0164338537387017,30,0.0168067226890756,-0.000372868950373903,0.000372868950373903
"1358","demand",39,0.0160230073952342,28,0.0156862745098039,0.00033673288543026,0.00033673288543026
"1359","abandon",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1360","absurd",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1361","agreeabl",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1362","betray",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1363","deni",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1364","driven",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1365","glare",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1366","inflict",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1367","melancholi",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1368","messag",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1369","pick",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1370","poison",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1371","skin",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1372","somewher",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1373","spell",9,0.00369761709120789,6,0.00336134453781513,0.000336272553392762,0.000336272553392762
"1374","linger",21,0.00862777321281841,16,0.00896358543417367,-0.000335812221355264,0.000335812221355264
